[FIPS CODE ,  SHORT NAME ,  FULL NAME ,  STATE ,  LATATUDE ,  LONGITUDE ,  POPULATION (2020) ,  AREA (SQ MI)]
[54043, Lincoln, Lincoln County, WV, 38.1753, -82.0704, 19902, 437.04]
[37149, Polk, Polk County, NC, 35.2793, -82.1697, 19891, 237.79]
[19191, Winneshiek, Winneshiek County, IA, 43.2907, -91.8437, 19873, 689.87]
[20099, Labette, Labette County, KS, 37.1913, -95.2976, 19869, 645.3]
[48057, Calhoun, Calhoun County, TX, 28.5074, -96.6018, 19868, 506.84]
[48177, Gonzales, Gonzales County, TX, 29.4567, -97.4925, 19851, 1066.69]
[13105, Elbert, Elbert County, GA, 34.1168, -82.8401, 19849, 351.06]
[13303, Washington, Washington County, GA, 32.9695, -82.7959, 19849, 678.45]
[22083, Richland, Richland Parish, LA, 32.4178, -91.7635, 19822, 559.04]
[13091, Dodge, Dodge County, GA, 32.1722, -83.1684, 19805, 495.89]
[13081, Crisp, Crisp County, GA, 31.9229, -83.7681, 19790, 272.58]
[27091, Martin, Martin County, MN, 43.6744, -94.5511, 19780, 712.35]
[18117, Orange, Orange County, IN, 38.5418, -86.495, 19767, 398.39]
[17041, Douglas, Douglas County, IL, 39.7694, -88.2173, 19751, 416.67]
[21155, Marion, Marion County, KY, 37.5525, -85.2696, 19749, 343.01]
[28153, Wayne, Wayne County, MS, 31.6408, -88.6958, 19718, 810.75]
[29217, Vernon, Vernon County, MO, 37.8506, -94.3424, 19687, 826.4]
[21099, Hart, Hart County, KY, 37.2999, -85.8847, 19603, 412.09]
[21231, Wayne, Wayne County, KY, 36.8013, -84.8286, 19602, 458.17]
[40001, Adair, Adair County, OK, 35.8839, -94.6587, 19575, 573.48]
[13171, Lamar, Lamar County, GA, 33.0765, -84.1395, 19571, 183.5]
[22093, St. James, St. James Parish, LA, 30.027, -90.7931, 19528, 241.54]
[12059, Holmes, Holmes County, FL, 30.8679, -85.814, 19513, 478.78]
[5057, Hempstead, Hempstead County, AR, 33.7354, -93.6684, 19508, 727.52]
[55067, Langlade, Langlade County, WI, 45.2623, -89.0719, 19490, 870.64]
[35028, Los Alamos, Los Alamos County, NM, 35.8693, -106.3073, 19435, 109.17]
[6063, Plumas, Plumas County, CA, 40.0046, -120.8385, 19423, 2553.04]
[51027, Buchanan, Buchanan County, VA, 37.2666, -82.036, 19415, 502.76]
[22041, Franklin, Franklin Parish, LA, 32.1333, -91.6738, 19408, 624.59]
[40091, McIntosh, McIntosh County, OK, 35.3736, -95.6668, 19400, 618.5]
[19097, Jackson, Jackson County, IA, 42.1717, -90.5743, 19390, 636.04]
[1099, Monroe, Monroe County, AL, 31.5709, -87.3654, 19388, 1025.68]
[5113, Polk, Polk County, AR, 34.4858, -94.2282, 19361, 857.68]
[24029, Kent, Kent County, MD, 39.2556, -76.039, 19346, 277.03]
[47049, Fentress, Fentress County, TN, 36.3805, -84.9324, 19309, 498.61]
[46005, Beadle, Beadle County, SD, 44.4145, -98.2781, 19309, 1258.71]
[19065, Fayette, Fayette County, IA, 42.8626, -91.8444, 19288, 730.81]
[22037, East Feliciana, East Feliciana Parish, LA, 30.8451, -91.0455, 19271, 453.41]
[18123, Perry, Perry County, IN, 38.0796, -86.638, 19270, 381.73]
[13011, Banks, Banks County, GA, 34.3543, -83.4972, 19264, 232.09]
[55047, Green Lake, Green Lake County, WI, 43.8004, -89.0449, 19263, 349.44]
[47085, Humphreys, Humphreys County, TN, 36.0408, -87.7756, 19214, 530.98]
[20021, Cherokee, Cherokee County, KS, 37.1693, -94.8463, 19151, 587.57]
[21097, Harrison, Harrison County, KY, 38.4418, -84.3314, 19140, 306.36]
[45081, Saluda, Saluda County, SC, 34.006, -81.7266, 19131, 452.78]
[21001, Adair, Adair County, KY, 37.1042, -85.2806, 19089, 405.28]
[12041, Gilchrist, Gilchrist County, FL, 29.7258, -82.8004, 19040, 349.68]
[29157, Perry, Perry County, MO, 37.7072, -89.8244, 18976, 474.35]
[29229, Wright, Wright County, MO, 37.2702, -92.4687, 18965, 681.77]
[35041, Roosevelt, Roosevelt County, NM, 34.0212, -103.48, 18928, 2447.43]
[28131, Stone, Stone County, MS, 30.79, -89.1177, 18894, 445.49]
[27161, Waseca, Waseca County, MN, 44.0221, -93.5873, 18885, 423.36]
[48051, Burleson, Burleson County, TX, 30.4925, -96.6215, 18857, 659.03]
[1091, Marengo, Marengo County, AL, 32.2477, -87.7895, 18851, 976.88]
[5121, Randolph, Randolph County, AR, 36.3415, -91.0276, 18838, 652.19]
[51193, Westmoreland, Westmoreland County, VA, 38.112, -76.8042, 18826, 229.38]
[37199, Yancey, Yancey County, NC, 35.8989, -82.3076, 18797, 312.6]
[37185, Warren, Warren County, NC, 36.3965, -78.1067, 18795, 428.46]
[39125, Paulding, Paulding County, OH, 41.1166, -84.5802, 18791, 416.44]
[6027, Inyo, Inyo County, CA, 36.5111, -117.4107, 18739, 10180.88]
[1107, Pickens, Pickens County, AL, 33.2808, -88.0887, 18721, 881.41]
[1087, Macon, Macon County, AL, 32.3859, -85.6927, 18691, 608.89]
[48035, Bosque, Bosque County, TX, 31.9004, -97.6343, 18687, 982.98]
[28141, Tishomingo, Tishomingo County, MS, 34.7404, -88.2393, 18660, 424.25]
[27055, Houston, Houston County, MN, 43.6714, -91.4929, 18653, 552.06]
[1013, Butler, Butler County, AL, 31.7524, -86.6803, 18630, 776.83]
[48003, Andrews, Andrews County, TX, 32.305, -102.6377, 18610, 1500.71]
[51101, King William, King William County, VA, 37.7066, -77.0885, 18593, 273.94]
[48163, Frio, Frio County, TX, 28.8678, -99.1082, 18582, 1133.5]
[29186, Ste. Genevieve, Ste. Genevieve County, MO, 37.8945, -90.1944, 18571, 499.15]
[19157, Poweshiek, Poweshiek County, IA, 41.6864, -92.5315, 18545, 584.93]
[17033, Crawford, Crawford County, IL, 39.0027, -87.7596, 18511, 443.63]
[13001, Appling, Appling County, GA, 31.7492, -82.2889, 18493, 507.08]
[53055, San Juan, San Juan County, WA, 48.5776, -122.9654, 18478, 173.92]
[55113, Sawyer, Sawyer County, WI, 45.88, -91.1446, 18476, 1257.31]
[48117, Deaf Smith, Deaf Smith County, TX, 34.966, -102.605, 18460, 1496.87]
[20041, Dickinson, Dickinson County, KS, 38.8665, -97.1527, 18445, 847.07]
[5003, Ashley, Ashley County, AR, 33.1912, -91.7685, 18429, 925.35]
[2050, Bethel, Bethel Census Area, AK, 60.9132, -159.8186, 18394, 40570.0]
